     0    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
     1    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
     2    0.12078E+04    0.52833E-01    0.34374E+01    0.10831E+07    0.34113E+05
     3    0.11251E+04    0.86628E-01    0.43324E+01    0.16670E+07    0.40487E+05
     4    0.10486E+04    0.97685E-01    0.44600E+01    0.21840E+07    0.43435E+05
     5    0.98949E+03    0.86908E-01    0.41313E+01    0.26398E+07    0.44550E+05
     6    0.94654E+03    0.64326E-01    0.36044E+01    0.30414E+07    0.44649E+05
     7    0.91684E+03    0.40891E-01    0.30198E+01    0.33969E+07    0.44207E+05
     8    0.89692E+03    0.23423E-01    0.24505E+01    0.37126E+07    0.43420E+05
     9    0.88435E+03    0.13524E-01    0.19594E+01    0.39945E+07    0.42370E+05
    10    0.87753E+03    0.93379E-02    0.15815E+01    0.42464E+07    0.41159E+05
    11    0.87494E+03    0.79960E-02    0.13234E+01    0.44724E+07    0.39919E+05
    12    0.87644E+03    0.74730E-02    0.11758E+01    0.46756E+07    0.38725E+05
    13    0.88017E+03    0.69494E-02    0.11160E+01    0.48585E+07    0.37621E+05
    14    0.88536E+03    0.62038E-02    0.11222E+01    0.50231E+07    0.36585E+05
    15    0.89229E+03    0.55194E-02    0.11719E+01    0.51715E+07    0.35585E+05
    16    0.90124E+03    0.52383E-02    0.12442E+01    0.53052E+07    0.34590E+05
    17    0.91194E+03    0.54873E-02    0.13224E+01    0.54256E+07    0.33603E+05
    18    0.92330E+03    0.60996E-02    0.13952E+01    0.55339E+07    0.32633E+05
    19    0.93640E+03    0.67979E-02    0.14592E+01    0.56313E+07    0.31687E+05
    20    0.94980E+03    0.73914E-02    0.15110E+01    0.57188E+07    0.30776E+05
    21    0.96362E+03    0.78755E-02    0.15538E+01    0.57976E+07    0.29906E+05
    22    0.97792E+03    0.83871E-02    0.15892E+01    0.58682E+07    0.29076E+05
    23    0.99251E+03    0.90992E-02    0.16206E+01    0.59312E+07    0.28285E+05
    24    0.10075E+04    0.10128E-01    0.16519E+01    0.59870E+07    0.27528E+05
    25    0.10228E+04    0.11499E-01    0.16859E+01    0.60361E+07    0.26805E+05
    26    0.10384E+04    0.13167E-01    0.17260E+01    0.60790E+07    0.26112E+05
    27    0.10543E+04    0.15071E-01    0.17706E+01    0.61162E+07    0.25447E+05
    28    0.10705E+04    0.17182E-01    0.18181E+01    0.61482E+07    0.24807E+05
    29    0.10870E+04    0.19497E-01    0.18663E+01    0.61755E+07    0.24191E+05
    30    0.11039E+04    0.22029E-01    0.19113E+01    0.61985E+07    0.23595E+05
    31    0.11209E+04    0.24782E-01    0.19494E+01    0.62177E+07    0.23017E+05
    32    0.11382E+04    0.27739E-01    0.19774E+01    0.62332E+07    0.22458E+05
    33    0.11559E+04    0.30871E-01    0.19922E+01    0.62454E+07    0.21916E+05
    34    0.11739E+04    0.34161E-01    0.19919E+01    0.62543E+07    0.21393E+05
    35    0.11922E+04    0.37614E-01    0.19767E+01    0.62600E+07    0.20887E+05
    36    0.12106E+04    0.41253E-01    0.19469E+01    0.62628E+07    0.20398E+05
    37    0.12292E+04    0.45123E-01    0.19036E+01    0.62628E+07    0.19927E+05
    38    0.12481E+04    0.49268E-01    0.18500E+01    0.62602E+07    0.19474E+05
    39    0.12674E+04    0.53688E-01    0.17869E+01    0.62551E+07    0.19037E+05
    40    0.12867E+04    0.58375E-01    0.17148E+01    0.62476E+07    0.18618E+05
    41    0.13064E+04    0.63330E-01    0.16335E+01    0.62380E+07    0.18216E+05
    42    0.13260E+04    0.68565E-01    0.15430E+01    0.62265E+07    0.17829E+05
    43    0.13458E+04    0.74095E-01    0.14431E+01    0.62133E+07    0.17455E+05
    44    0.13656E+04    0.79918E-01    0.13347E+01    0.61985E+07    0.17094E+05
    45    0.13858E+04    0.86045E-01    0.12185E+01    0.61825E+07    0.16742E+05
    46    0.14063E+04    0.92483E-01    0.10930E+01    0.61654E+07    0.16400E+05
    47    0.14270E+04    0.99209E-01    0.95704E+00    0.61474E+07    0.16064E+05
    48    0.14478E+04    0.10620E+00    0.81226E+00    0.61287E+07    0.15733E+05
    49    0.14687E+04    0.11342E+00    0.65962E+00    0.61097E+07    0.15406E+05
    50    0.14900E+04    0.12080E+00    0.49334E+00    0.60904E+07    0.15080E+05
